Date,GLD,IWM,QQQ,SPY,TLT
2017-07-13,115.81999969482422,126.89599609375,133.08380126953125,212.97914123535156,96.05973815917969
2017-07-14,116.7699966430664,127.11124420166016,134.1314239501953,213.97247314453125,96.17671966552734
2017-07-17,117.29000091552734,127.40723419189453,134.19747924804688,213.9463653564453,96.44184875488281
2017-07-18,118.11000061035156,127.0753173828125,135.09405517578125,214.0596160888672,97.28411865234375
2017-07-19,118.08000183105469,128.3399200439453,135.8868408203125,215.21856689453125,97.32305145263672
2017-07-20,118.23999786376953,128.42958068847656,136.06619262695312,215.3144073486328,97.60381317138672
2017-07-21,119.26000213623047,127.8466567993164,136.00953674316406,215.12271118164062,98.01713562011719
2017-07-24,119.30999755859375,128.02597045898438,136.63243103027344,215.0704345703125,97.635009765625
2017-07-25,118.91999816894531,129.19195556640625,136.28323364257812,215.59324645996094,96.36389923095703
2017-07-26,119.87999725341797,128.47447204589844,136.726806640625,215.60194396972656,96.51986694335938
2017-07-27,119.79000091552734,127.65827941894531,135.86801147460938,215.4015350341797,96.04417419433594
2017-07-28,120.69000244140625,127.3174819946289,135.7547149658203,215.1488800048828,96.61345672607422
2017-07-31,120.75,126.91394805908203,135.1790008544922,215.02682495117188,96.73039245605469
2017-08-01,120.6500015258789,127.15608978271484,135.49046325683594,215.506103515625,97.40953826904297
2017-08-02,120.4000015258789,125.76591491699219,135.85855102539062,215.6106414794922,97.46429443359375
2017-08-03,120.58999633789062,125.13814544677734,135.3300018310547,215.1924285888672,98.4724349975586
2017-08-04,119.6500015258789,125.7480239868164,135.5753936767578,215.5845184326172,97.63619995117188
2017-08-07,119.51000213623047,125.95427703857422,136.4342803955078,215.98536682128906,97.7456283569336
2017-08-08,119.86000061035156,125.55966186523438,136.19830322265625,215.4538116455078,97.39390563964844
2017-08-09,121.30999755859375,124.4744644165039,136.01895141601562,215.44508361816406,97.92539978027344
2017-08-10,122.20999908447266,122.21440887451172,133.10272216796875,212.40402221679688,98.7616195678711
2017-08-11,122.79000091552734,122.39376831054688,134.112548828125,212.7177276611328,98.8084487915039
2017-08-14,121.91999816894531,124.2502670288086,135.83963012695312,214.82643127441406,98.30049133300781
2017-08-15,120.9800033569336,123.22784423828125,135.9340362548828,214.80026245117188,97.88629913330078
2017-08-16,121.87000274658203,123.26372528076172,136.17002868652344,215.1749725341797,98.24579620361328
2017-08-17,122.48999786376953,121.01256561279297,133.38577270507812,211.82022094726562,98.9804458618164
2017-08-18,122.30000305175781,121.003662109375,133.29141235351562,211.4890899658203,98.95698547363281
2017-08-21,122.76000213623047,120.92294311523438,133.12156677246094,211.65467834472656,99.19924926757812
2017-08-22,122.20999908447266,122.23236083984375,135.15069580078125,213.8679656982422,98.81629180908203
2017-08-23,122.66999816894531,122.03502655029297,134.66937255859375,213.1011199951172,99.4884033203125
2017-08-24,122.29000091552734,122.41173553466797,134.27293395996094,212.60443115234375,99.1211166381836
2017-08-25,122.73999786376953,122.7614517211914,133.9898223876953,213.1011199951172,99.5040512084961
2017-08-28,124.69000244140625,123.28164672851562,134.40505981445312,213.10986328125,99.44155883789062
2017-08-29,124.41999816894531,123.30854034423828,134.93360900878906,213.35382080078125,99.76194763183594
2017-08-30,124.36000061035156,124.09776306152344,136.51925659179688,214.36459350585938,99.73068237304688
2017-08-31,125.81999969482422,125.3175277709961,137.98211669921875,215.65423583984375,100.02769470214844
2017-09-01,126.05999755859375,126.02601623535156,137.79331970214844,215.9591827392578,99.2625503540039
2017-09-05,127.45999908447266,124.81526184082031,136.5569610595703,214.40814208984375,100.83665466308594
2017-09-06,126.80999755859375,125.07537078857422,136.9722442626953,215.14013671875,100.21798706054688
2017-09-07,128.1300048828125,124.76146697998047,137.2931365966797,215.11402893066406,101.24388122558594
2017-09-08,127.97000122070312,124.8601303100586,136.1039581298828,214.86126708984375,101.02460479736328
2017-09-11,126.19000244140625,126.16954803466797,137.67063903808594,217.15296936035156,99.81858825683594
2017-09-12,126.55999755859375,126.94080352783203,138.00096130371094,217.8849334716797,99.29387664794922
2017-09-13,125.61000061035156,127.3174819946289,138.189697265625,217.98948669433594,98.90230560302734
2017-09-14,126.16000366210938,127.2009048461914,137.37802124023438,217.91976928710938,99.30955505371094
2017-09-15,125.52999877929688,127.72110748291016,137.8499298095703,218.21315002441406,99.34869384765625
